file,s1,s2,b1,b2,percDif
random1045.gcg,757,624,1,2,19.261404779145547
random261.gcg,697,585,2,1,17.472698907956318
random1092.gcg,675,592,1,2,13.101815311760062
random1086.gcg,789,604,2,1,26.56137832017229
random1082.gcg,555,690,0,3,21.686746987951807
random1096.gcg,706,694,3,3,1.7142857142857144
random259.gcg,622,670,0,2,7.430340557275541
random1069.gcg,693,698,2,2,0.7189072609633357
random265.gcg,534,667,0,2,22.148209825145713
random1041.gcg,642,584,1,2,9.461663947797716
random503.gcg,619,572,0,1,7.892527287993283
random517.gcg,689,701,2,2,1.7266187050359711
random1055.gcg,616,682,1,1,10.16949152542373
random271.gcg,611,642,0,2,4.948124501197127
random926.gcg,693,682,1,1,1.6
random932.gcg,456,632,0,0,32.35294117647059
random1280.gcg,879,550,5,1,46.046186144156756
random1294.gcg,514,804,0,3,44.00606980273141
random1519.gcg,608,575,0,2,5.579036348267118
random729.gcg,583,781,0,3,29.03225806451613
random701.gcg,600,662,0,2,9.8256735340729
